customer_state,order_count,item_count,total_item_sales_value,average_item_price
SP,37879,37879,12937888.77,341.56
RJ,11578,11578,3851780.34,332.68
MG,10334,10334,3502549.88,338.93
RS,4921,4921,1661276.59,337.59
PR,4523,4523,1607270.1,355.35
SC,3213,3213,1067002.54,332.09
BA,3088,3088,1061022.26,343.6
GO,1868,1868,684457.77,366.41
ES,1798,1798,616957.9,343.14
DF,1793,1793,566769.16,316.1
PE,1493,1493,536029.52,359.03
CE,1141,1141,410894.13,360.12
PA,817,817,304585.55,372.81
MT,848,848,281553.26,332.02
MA,623,623,216471.32,347.47
MS,637,637,211812.9,332.52
PB,497,497,179472.35,361.11
RN,381,381,137432.16,360.71
PI,423,423,121734.35,287.79
SE,305,305,105508.4,345.93
AL,342,342,102528.08,299.79
RO,241,241,102511.62,425.36
TO,247,247,84705.01,342.94
AM,140,140,45710.75,326.51
AP,68,68,21504.48,316.24
AC,75,75,19961.64,266.16
RR,43,43,8482.06,197.26
